"Дата","ФО","Регион","Регион название","Регион геоточка","Регион население","Заражений","Выздоровлений","Смертей","Смертей за день","Заражений за день","Выздоровлений за день","Заражений на 100К населения","Летальность, %"
12.03.2020,Сибирский федеральный округ,Новосибирская обл.,Новосибирская область,"",2788849,0,0,0,0,0,0,0,""
12.03.2020,Сибирский федеральный округ,Омская обл.,Омская область,"",1960081,0,0,0,0,0,0,0,""
12.03.2020,Сибирский федеральный округ,Томская обл.,Томская область,"",1078280,0,0,0,0,0,0,0,""
12.03.2020,Сибирский федеральный округ,Тыва,Республика Тыва,"",321722,0,0,0,0,0,0,0,""
12.03.2020,Сибирский федеральный округ,Хакасия,Республика Хакасия,"",537513,0,0,0,0,0,0,0,""
12.03.2020,Уральский федеральный округ,Курганская обл.,Курганская область,"",845537,0,0,0,0,0,0,0,""
12.03.2020,Уральский федеральный округ,Свердловская обл.,Свердловская область,"",4325256,0,0,0,0,0,0,0,""
12.03.2020,Уральский федеральный округ,Тюменская обл.,Тюменская область,"",1498779,0,0,0,0,0,0,0,""
12.03.2020,Уральский федеральный округ,ХМАО – Югра,Ханты-Мансийский автономный округ - Югра,"",1655074,0,0,0,0,0,0,0,""
12.03.2020,Уральский федеральный округ,Челябинская обл.,Челябинская область,"",3493036,0,0,0,0,0,0,0,""
12.03.2020,Уральский федеральный округ,Ямало-Ненецкий АО,Ямало-Ненецкий автономный округ,"",538547,0,0,0,0,0,0,0,""
12.03.2020,Центральный федеральный округ,Белгородская обл.,Белгородская область,"",1549876,1,0,0,0,1,0,0.0645212907355169,0
12.03.2020,Центральный федеральный округ,Брянская обл.,Брянская область,"",1210982,0,0,0,0,0,0,0,""
12.03.2020,Центральный федеральный округ,Владимирская обл.,Владимирская область,"",1378337,0,0,0,0,0,0,0,""
12.03.2020,Центральный федеральный округ,Воронежская обл.,Воронежская область,"",2333768,0,0,0,0,0,0,0,""
12.03.2020,Центральный федеральный округ,Ивановская обл.,Ивановская область,"",1014646,0,0,0,0,0,0,0,""
12.03.2020,Центральный федеральный округ,Калужская обл.,Калужская область,"",1012156,0,0,0,0,0,0,0,""
12.03.2020,Центральный федеральный округ,Костромская обл.,Костромская область,"",643324,0,0,0,0,0,0,0,""
12.03.2020,Центральный федеральный округ,Курская обл.,Курская область,"",1115237,0,0,0,0,0,0,0,""
12.03.2020,Центральный федеральный округ,Липецкая обл.,Липецкая область,"",1150201,3,0,0,0,3,0,0.26082397772215465,0
12.03.2020,Центральный федеральный округ,Москва,Москва,"",12506468,21,0,0,0,21,0,0.16791311503775486,0
12.03.2020,Центральный федеральный округ,Московская обл.,Московская область,"",7503385,4,0,0,0,4,0,0.05330927308141592,0
12.03.2020,Центральный федеральный округ,Орловская обл.,Орловская область,"",747247,0,0,0,0,0,0,0,""
12.03.2020,Центральный федеральный округ,Рязанская обл.,Рязанская область,"",1121474,0,0,0,0,0,0,0,""
12.03.2020,Центральный федеральный округ,Смоленская обл.,Смоленская область,"",949348,0,0,0,0,0,0,0,""
12.03.2020,Центральный федеральный округ,Тамбовская обл.,Тамбовская область,"",1033552,0,0,0,0,0,0,0,""
12.03.2020,Центральный федеральный округ,Тверская обл.,Тверская область,"",1283873,0,0,0,0,0,0,0,""
12.03.2020,Центральный федеральный округ,Тульская обл.,Тульская область,"",1491855,0,0,0,0,0,0,0,""
12.03.2020,Центральный федеральный округ,Ярославская обл.,Ярославская область,"",1265684,0,0,0,0,0,0,0,""
12.03.2020,Южный федеральный округ,Адыгея,Республика Адыгея,"",453376,0,0,0,0,0,0,0,""
12.03.2020,Южный федеральный округ,Астраханская обл.,Астраханская область,"",1017514,0,0,0,0,0,0,0,""
12.03.2020,Южный федеральный округ,Волгоградская обл.,Волгоградская область,"",2521276,0,0,0,0,0,0,0,""
12.03.2020,Южный федеральный округ,Калмыкия,Республика Калмыкия,"",275413,0,0,0,0,0,0,0,""
12.03.2020,Южный федеральный округ,Краснодарский край,Краснодарский край,"",5603420,1,0,0,0,1,0,0.017846243901046145,0
12.03.2020,Южный федеральный округ,Крым,Республика Крым,"",1913731,0,0,0,0,0,0,0,""
12.03.2020,Южный федеральный округ,Ростовская обл.,Ростовская область,"",4220452,0,0,0,0,0,0,0,""
12.03.2020,Южный федеральный округ,Севастополь,Севастополь,"",436670,0,0,0,0,0,0,0,""
13.03.2020,Дальневосточный федеральный округ,Амурская обл.,Амурская область,"",798424,0,0,0,0,0,0,0,""
13.03.2020,Дальневосточный федеральный округ,Бурятия,Республика Бурятия,"",984511,0,0,0,0,0,0,0,""
13.03.2020,Дальневосточный федеральный округ,Еврейская АО,Еврейская автономная область,"",162014,0,0,0,0,0,0,0,""
13.03.2020,Дальневосточный федеральный округ,Забайкальский край,Забайкальский край,"",1072806,0,0,0,0,0,0,0,""
13.03.2020,Дальневосточный федеральный округ,Камчатский край,Камчатский край,"",315557,0,0,0,0,0,0,0,""
13.03.2020,Дальневосточный федеральный округ,Магаданская обл.,Магаданская область,"",144091,0,0,0,0,0,0,0,""
13.03.2020,Дальневосточный федеральный округ,Приморский край,Приморский край,"",1913037,0,0,0,0,0,0,0,""
13.03.2020,Дальневосточный федеральный округ,Саха (Якутия),Республика Саха (Якутия),"",964330,0,0,0,0,0,0,0,""
13.03.2020,Дальневосточный федеральный округ,Сахалинская обл.,Сахалинская область,"",490181,0,0,0,0,0,0,0,""
13.03.2020,Дальневосточный федеральный округ,Хабаровский край,Хабаровский край,"",1328302,0,0,0,0,0,0,0,""
13.03.2020,Приволжский федеральный округ,Башкортостан,Республика Башкортостан,"",4063293,0,0,0,0,0,0,0,""
13.03.2020,Приволжский федеральный округ,Кировская обл.,Кировская область,"",1283238,0,0,0,0,0,0,0,""
13.03.2020,Приволжский федеральный округ,Марий Эл,Республика Марий Эл,"",682333,0,0,0,0,0,0,0,""
13.03.2020,Приволжский федеральный округ,Мордовия,Республика Мордовия,"",805056,0,0,0,0,0,0,0,""
13.03.2020,Приволжский федеральный округ,Нижегородская обл.,Нижегородская область,"",3234752,1,0,0,0,0,0,0.03091427101675801,0
13.03.2020,Приволжский федеральный округ,Оренбургская обл.,Оренбургская область,"",1977720,0,0,0,0,0,0,0,""
13.03.2020,Приволжский федеральный округ,Пензенская обл.,Пензенская область,"",1331655,0,0,0,0,0,0,0,""
13.03.2020,Приволжский федеральный округ,Пермский край,Пермский край,"",2623122,1,0,0,0,1,0,0.03812251202955867,0
13.03.2020,Приволжский федеральный округ,Самарская обл.,Самарская область,"",3193514,0,0,0,0,0,0,0,""
13.03.2020,Приволжский федеральный округ,Саратовская обл.,Саратовская область,"",2462950,0,0,0,0,0,0,0,""
13.03.2020,Приволжский федеральный округ,Татарстан,Республика Татарстан,"",3894284,0,0,0,0,0,0,0,""
13.03.2020,Приволжский федеральный округ,Удмуртия,Удмуртская Республика,"",1513044,0,0,0,0,0,0,0,""
13.03.2020,Приволжский федеральный округ,Ульяновская обл.,Ульяновская область,"",1246618,0,0,0,0,0,0,0,""
13.03.2020,Приволжский федеральный округ,Чувашия,Чувашская Республика,"",1231117,0,0,0,0,0,0,0,""
13.03.2020,Северо-Западный федеральный округ,Архангельская обл.,Архангельская область,"",1111031,0,0,0,0,0,0,0,""
13.03.2020,Северо-Западный федеральный округ,Вологодская обл.,Вологодская область,"",1176689,0,0,0,0,0,0,0,""
13.03.2020,Северо-Западный федеральный округ,Калининградская обл.,Калининградская область,"",994599,2,0,0,0,0,0,0.20108606584161054,0
13.03.2020,Северо-Западный федеральный округ,Карелия,Республика Карелия,"",622484,0,0,0,0,0,0,0,""
13.03.2020,Северо-Западный федеральный округ,Коми,Республика Коми,"",840873,0,0,0,0,0,0,0,""
13.03.2020,Северо-Западный федеральный округ,Ленинградская обл.,Ленинградская область,"",1813816,1,0,0,0,1,0,0.05513238388017307,0
13.03.2020,Северо-Западный федеральный округ,Мурманская обл.,Мурманская область,"",753557,0,0,0,0,0,0,0,""
13.03.2020,Северо-Западный федеральный округ,Новгородская обл.,Новгородская область,"",606476,0,0,0,0,0,0,0,""
13.03.2020,Северо-Западный федеральный округ,Псковская обл.,Псковская область,"",636546,0,0,0,0,0,0,0,""
13.03.2020,Северо-Западный федеральный округ,Санкт-Петербург,Санкт-Петербург,"",5351935,4,0,0,0,3,0,0.07473932325411277,0
13.03.2020,Северо-Кавказский федеральный округ,Дагестан,Республика Дагестан,"",3063885,0,0,0,0,0,0,0,""
13.03.2020,Северо-Кавказский федеральный округ,Ингушетия,Республика Ингушетия,"",488043,0,0,0,0,0,0,0,""
13.03.2020,Северо-Кавказский федеральный округ,Кабардино-Балкария,Кабардино-Балкарская Республика,"",865828,0,0,0,0,0,0,0,""
13.03.2020,Северо-Кавказский федеральный округ,Карачаево-Черкессия,Карачаево-Черкесская Республика,"",466305,0,0,0,0,0,0,0,""
13.03.2020,Северо-Кавказский федеральный округ,Северная Осетия,Республика Северная Осетия — Алания,"",701765,0,0,0,0,0,0,0,""
13.03.2020,Северо-Кавказский федеральный округ,Ставропольский край,Ставропольский край,"",2800674,0,0,0,0,0,0,0,""
13.03.2020,Северо-Кавказский федеральный округ,Чечня,Чеченская Республика,"",1436981,0,0,0,0,0,0,0,""
13.03.2020,Сибирский федеральный округ,Алтайский край,Алтайский край,"",2350080,0,0,0,0,0,0,0,""
13.03.2020,Сибирский федеральный округ,Иркутская обл.,Иркутская область,"",2404195,0,0,0,0,0,0,0,""
13.03.2020,Сибирский федеральный округ,Кемеровская обл.,Кемеровская область (Кузбасс),"",2694877,0,0,0,0,0,0,0,""
13.03.2020,Сибирский федеральный округ,Красноярский край,Красноярский край,"",2876497,0,0,0,0,0,0,0,""
13.03.2020,Сибирский федеральный округ,Новосибирская обл.,Новосибирская область,"",2788849,0,0,0,0,0,0,0,""
